gene_index,gene_name,cluster_id,is_medoid
496,ENSG00000283907,1,False
3,ENSG00000011028,2,False
6,ENSG00000012779,2,False
13,ENSG00000041982,2,False
15,ENSG00000060718,2,False
17,ENSG00000066248,2,False
29,ENSG00000086548,2,False
36,ENSG00000099953,2,False
39,ENSG00000100985,2,False
45,ENSG00000102265,2,False
46,ENSG00000102970,2,False
47,ENSG00000104783,2,False
48,ENSG00000104879,2,False
51,ENSG00000105664,2,False
52,ENSG00000105976,2,False
53,ENSG00000106100,2,False
58,ENSG00000108821,2,False
63,ENSG00000110042,2,False
64,ENSG00000110680,2,False
67,ENSG00000113296,2,False
68,ENSG00000113396,2,False
70,ENSG00000113946,2,False
73,ENSG00000115414,2,False
75,ENSG00000115687,2,False
77,ENSG00000115828,2,False
80,ENSG00000117069,2,False
83,ENSG00000118785,2,False
89,ENSG00000122861,2,False
90,ENSG00000123500,2,False
91,ENSG00000123700,2,False
92,ENSG00000124107,2,False
101,ENSG00000125869,2,False
104,ENSG00000129451,2,False
118,ENSG00000134184,2,False
121,ENSG00000134873,2,False
126,ENSG00000137261,2,False
128,ENSG00000137648,2,False
129,ENSG00000137673,2,False
130,ENSG00000137868,2,False
131,ENSG00000138061,2,False
132,ENSG00000138166,2,False
138,ENSG00000139626,2,False
139,ENSG00000141524,2,False
143,ENSG00000143217,2,False
149,ENSG00000145824,2,False
150,ENSG00000145864,2,False
151,ENSG00000147041,2,False
153,ENSG00000147255,2,False
154,ENSG00000147256,2,False
157,ENSG00000148346,2,False
163,ENSG00000152128,2,False
170,ENSG00000154277,2,False
173,ENSG00000155897,2,False
175,ENSG00000156299,2,False
179,ENSG00000157765,2,False
180,ENSG00000159216,2,False
185,ENSG00000162366,2,False
186,ENSG00000162545,2,False
188,ENSG00000163347,2,False
191,ENSG00000163817,2,False
192,ENSG00000163898,2,False
193,ENSG00000164171,2,False
195,ENSG00000164379,2,False
198,ENSG00000164932,2,False
205,ENSG00000167895,2,False
208,ENSG00000168530,2,False
211,ENSG00000168878,2,False
224,ENSG00000173227,2,False
228,ENSG00000175793,2,False
230,ENSG00000176153,2,False
233,ENSG00000176769,2,False
234,ENSG00000179344,2,False
235,ENSG00000179593,2,False
236,ENSG00000179913,2,False
249,ENSG00000184156,2,False
250,ENSG00000184292,2,False
252,ENSG00000184613,2,False
256,ENSG00000185567,2,False
260,ENSG00000187045,2,False
264,ENSG00000188133,2,False
273,ENSG00000196878,2,False
274,ENSG00000197249,2,False
275,ENSG00000197253,2,False
278,ENSG00000197614,2,False
279,ENSG00000197635,2,False
282,ENSG00000198074,2,False
284,ENSG00000198502,2,False
285,ENSG00000198535,2,False
288,ENSG00000198734,2,False
291,ENSG00000204544,2,False
292,ENSG00000204866,2,False
326,ENSG00000211829,2,True
361,ENSG00000213058,2,False
364,ENSG00000214940,2,False
369,ENSG00000223813,2,False
378,ENSG00000225972,2,False
384,ENSG00000229807,2,False
389,ENSG00000232629,2,False
398,ENSG00000237541,2,False
400,ENSG00000239830,2,False
426,ENSG00000249835,2,False
438,ENSG00000257764,2,False
439,ENSG00000258947,2,False
470,ENSG00000274252,2,False
476,ENSG00000276345,2,False
479,ENSG00000277150,2,False
0,ENSG00000004468,3,False
8,ENSG00000022556,3,False
9,ENSG00000023445,3,False
10,ENSG00000026751,3,False
12,ENSG00000038427,3,False
14,ENSG00000048462,3,False
28,ENSG00000083454,3,False
31,ENSG00000090104,3,False
32,ENSG00000090382,3,False
37,ENSG00000099958,3,False
38,ENSG00000100721,3,False
42,ENSG00000102096,3,False
49,ENSG00000105369,3,False
54,ENSG00000106483,3,False
57,ENSG00000107317,3,False
65,ENSG00000110777,3,False
66,ENSG00000110848,3,False
74,ENSG00000115602,3,False
82,ENSG00000117322,3,False
